uf,ano,rebanho_cabecas,regiao,abate_anual,desmatamento_km2,taxa_abate,amazonia_legal,var_rebanho_pct
AC,2005,2313185,Norte,56259.0,592.0,2.4321011938085366,True,
AC,2006,2452915,Norte,275405.0,398.0,11.22766178200223,True,6.0405890579439125
AC,2007,2315798,Norte,446447.0,184.0,19.27832220254098,True,-5.589961331721649
AC,2008,2425687,Norte,417316.0,254.0,17.20403333158812,True,4.745189347257406
AC,2009,2511285,Norte,418318.0,167.0,16.657527918973752,True,3.528814723416507
AC,2010,2578460,Norte,485166.0,259.0,18.816115045414705,True,2.6749253868039613
AC,2011,2549497,Norte,455485.0,280.0,17.865680955890515,True,-1.1232673766511825
AC,2012,2634467,Norte,413401.0,305.0,15.692016639418904,True,3.3328142766984925
AC,2013,2697489,Norte,427501.0,221.0,15.848109111844385,True,2.3922106445060765
AC,2014,2799673,Norte,441728.0,309.0,15.77784262662104,True,3.788115540044834
AC,2015,2916207,Norte,420205.0,264.0,14.409299477026149,True,4.162414682000359
AC,2016,2998969,Norte,453595.0,372.0,15.125031302424267,True,2.8380015547593063
AC,2017,2895028,Norte,427053.0,257.0,14.7512562918217,True,-3.465891111245234
AC,2018,3303633,Norte,425104.0,444.0,12.867773145503753,True,14.11402584016459
AC,2019,3509682,Norte,416498.0,682.0,11.86711502637561,True,6.237042673928972
AC,2020,3802112,Norte,370823.0,706.0,9.753079341166172,True,8.332093904803916
AC,2021,4047283,Norte,326282.0,804.0,8.061754021154439,True,6.448284532386217
AC,2022,4635381,Norte,337834.0,767.0,7.288160347552876,True,14.530686388868785
AC,2023,4908956,Norte,466875.0,730.0,9.51067803418894,True,5.9018881080109775
AC,2024,5186919,Norte,563599.0,,10.86577600305692,True,5.662364869434566
AL,2005,985422,Nordeste,41246.0,,4.185617938304604,False,
AL,2006,1029352,Nordeste,155242.0,,15.081527018940072,False,4.457988557186665
AL,2007,1112125,Nordeste,176068.0,,15.83167359784197,False,8.041272567595925
AL,2008,1162005,Nordeste,167086.0,,14.379111965955396,False,4.485107339552652
AL,2009,1193021,Nordeste,143710.0,,12.04589022322323,False,2.6691795646318184
AL,2010,1219578,Nordeste,193518.0,,15.867619783236497,False,2.226029550192332
AL,2011,1268304,Nordeste,201501.0,,15.887437081330658,False,3.9953164127263685
AL,2012,1221266,Nordeste,201128.0,,16.46881187227025,False,-3.708732291311867
AL,2013,1251723,Nordeste,210921.0,,16.850453335122868,False,2.4938874905221287
AL,2014,1253121,Nordeste,192613.0,,15.370662529795606,False,0.11168605194600278
AL,2015,1255696,Nordeste,159319.0,,12.68770466737172,False,0.20548694020769975
AL,2016,1189985,Nordeste,152882.0,,12.847388832632344,False,-5.233034110166789
AL,2017,1208404,Nordeste,148132.0,,12.258483090092387,False,1.5478346365710438
AL,2018,1247619,Nordeste,132972.0,,10.65806147549853,False,3.245189522709291
AL,2019,1233394,Nordeste,114001.0,,9.242869675059227,False,-1.1401717992431948
AL,2020,1290414,Nordeste,104884.0,,8.127934135866473,False,4.623015840842415
AL,2021,1321236,Nordeste,104417.0,,7.902978725980823,False,2.388535772240541
AL,2022,1335493,Nordeste,139910.0,,10.476281043779338,False,1.0790653600113886
AL,2023,1437589,Nordeste,158657.0,,11.03632540315765,False,7.644817307166707
AL,2024,1388515,Nordeste,176298.0,,12.69687399848039,False,-3.4136321299063965
AM,2005,1197171,Norte,20321.0,775.0,1.6974183303805388,True,
AM,2006,1243358,Norte,89911.0,788.0,7.231304258306939,True,3.8580119297911386
AM,2007,1208652,Norte,115939.0,587.0,9.59242197092298,True,-2.791311914991501
AM,2008,1312352,Norte,102152.0,604.0,7.783887249762259,True,8.579806263506784
AM,2009,1350816,Norte,115562.0,405.0,8.55497713974368,True,2.930920972422024
AM,2010,1360800,Norte,178358.0,595.0,13.106848912404468,True,0.7391088053443351
AM,2011,1439597,Norte,212918.0,502.0,14.790111399231867,True,5.790490887713107
AM,2012,1445739,Norte,215436.0,523.0,14.901444866604551,True,0.4266471797315541
AM,2013,1470537,Norte,223282.0,583.0,15.18370500028221,True,1.715247357925609
AM,2014,1405208,Norte,242746.0,827.0,17.274737974733988,True,-4.4425267776329385
AM,2015,1293325,Norte,235934.0,712.0,18.242437129105213,True,-7.9620241273889665
AM,2016,1315821,Norte,253446.0,1129.0,19.261434496029477,True,1.7393926507258461
AM,2017,1343574,Norte,257559.0,1049.0,19.16969217921752,True,2.1091774641079697
AM,2018,1376210,Norte,241531.0,1421.0,17.550446516156693,True,2.42904372963455
AM,2019,1455842,Norte,248021.0,1573.0,17.036258055475802,True,5.786326214749193
AM,2020,1437809,Norte,211634.0,1555.0,14.719201229092322,True,-1.2386646353107045
AM,2021,1496165,Norte,155079.0,1708.0,10.365100105937513,True,4.058675387342836
AM,2022,2029011,Norte,160176.0,1600.0,7.894289385321223,True,35.614120100390004
AM,2023,2377089,Norte,155136.0,1450.0,6.526301707676911,True,17.155057316101296
AM,2024,2588044,Norte,254107.0,,9.818496130668567,True,8.874509957346998
AP,2005,96599,Norte,7572.0,33.0,7.83859046159898,True,
AP,2006,109081,Norte,,39.0,,True,12.921458814273446
AP,2007,103170,Norte,,28.0,,True,-5.41890888422365
AP,2008,95803,Norte,7165.0,100.0,7.478888970074006,True,-7.140641659397106
AP,2009,104977,Norte,,60.0,,True,9.575900545911932
AP,2010,114773,Norte,,53.0,,True,9.331567867247115
AP,2011,127499,Norte,,66.0,,True,11.087973652339844
AP,2012,142825,Norte,,27.0,,True,12.020486435187717
AP,2013,154967,Norte,,23.0,,True,8.501312795378958
AP,2014,167529,Norte,,31.0,,True,8.106241974097706
AP,2015,89682,Norte,,16.0,,True,-46.467775728381355
AP,2016,76379,Norte,,24.0,,True,-14.833522891996164
AP,2017,66921,Norte,,18.0,,True,-12.38298485185718
AP,2018,55422,Norte,,22.0,,True,-17.182947056977625
AP,2019,54296,Norte,,25.0,,True,-2.0316841687416543
AP,2020,54684,Norte,,28.0,,True,0.7146014439369353
AP,2021,52768,Norte,,32.0,,True,-3.5037670982371427
AP,2022,53691,Norte,,30.0,,True,1.7491661613098897
AP,2023,54842,Norte,,27.0,,True,2.1437484867109946
AP,2024,57887,Norte,,,,True,5.552313919988339
BA,2005,10463098,Nordeste,234931.0,,2.245329251432033,False,
BA,2006,10764857,Nordeste,922133.0,,8.566142587867168,False,2.8840310967172433
BA,2007,11385723,Nordeste,1047301.0,,9.198370626090234,False,5.7675266842838635
BA,2008,11099880,Nordeste,1120722.0,,10.096703748148629,False,-2.5105388564257147
BA,2009,10230469,Nordeste,1143170.0,,11.174170020944299,False,-7.8326162084635165
BA,2010,10528419,Nordeste,1177361.0,,11.182695141597234,False,2.912378699353857
BA,2011,10667903,Nordeste,1090600.0,,10.223190068376137,False,1.3248332916841576
BA,2012,10250975,Nordeste,1172534.0,,11.438268067183852,False,-3.908247009745025
BA,2013,10828409,Nordeste,1309373.0,,12.092016472595374,False,5.632966620248325
BA,2014,10824134,Nordeste,1372695.0,,12.681799763380608,False,-0.03947948401283874
BA,2015,10758372,Nordeste,1218785.0,,11.328712188052243,False,-0.6075497587151091
BA,2016,10363291,Nordeste,1141570.0,,11.01551621005335,False,-3.6723121304970685
BA,2017,10037814,Nordeste,1176523.0,,11.720908556384886,False,-3.14067220538341
BA,2018,9923931,Nordeste,1192229.0,,12.013676838341581,False,-1.134539851007399
BA,2019,10214863,Nordeste,1196050.0,,11.7089186609747,False,2.9316205443185694
BA,2020,9748632,Nordeste,955050.0,,9.796759176056701,False,-4.564241341269093
BA,2021,11755096,Nordeste,925299.0,,7.871471232561605,False,20.58200576244955
BA,2022,12526243,Nordeste,1022930.0,,8.16629535288434,False,6.560108058666647
BA,2023,13205880,Nordeste,1223377.0,,9.263880937885245,False,5.425705057773511
BA,2024,13661720,Nordeste,1407837.0,,10.304976240180592,False,3.45179571524199
CE,2005,2299233,Nordeste,85042.0,,3.698711700815011,False,
CE,2006,2352589,Nordeste,322921.0,,13.726196968531266,False,2.320599956594216
CE,2007,2424290,Nordeste,339766.0,,14.015072454203088,False,3.0477486717824576
CE,2008,2460523,Nordeste,345712.0,,14.050346206883656,False,1.4945819188298515
CE,2009,2494482,Nordeste,323246.0,,12.958441872901869,False,1.380153731544076
CE,2010,2546134,Nordeste,332325.0,,13.052141010645943,False,2.070650339429192
CE,2011,2614604,Nordeste,315165.0,,12.054024242294435,False,2.689175039491243
CE,2012,2714713,Nordeste,278992.0,,10.277034809941235,False,3.8288398549072733
CE,2013,2591067,Nordeste,270338.0,,10.433462353540067,False,-4.554661947690231
CE,2014,2597139,Nordeste,255733.0,,9.84671979435833,False,0.23434361211038812
CE,2015,2516197,Nordeste,229445.0,,9.11872162632735,False,-3.1165832864548215
CE,2016,2426408,Nordeste,200079.0,,8.2458926940564,False,-3.568440785836724
CE,2017,2287400,Nordeste,172889.0,,7.558319489376585,False,-5.728962317961361
CE,2018,2403371,Nordeste,156437.0,,6.509065807983869,False,5.0699921308035245
CE,2019,2479289,Nordeste,152141.0,,6.1364770303099,False,3.158813183649123
CE,2020,2552916,Nordeste,128709.0,,5.041646493656666,False,2.969682033841159
CE,2021,2607005,Nordeste,114748.0,,4.4015258889031665,False,2.118714442621683
CE,2022,2681690,Nordeste,128253.0,,4.782543843621,False,2.8647816172197693
CE,2023,2772173,Nordeste,128509.0,,4.635677499203694,False,3.37410364359787
CE,2024,2860949,Nordeste,139281.0,,4.868349628043003,False,3.20239754156757
DF,2005,102320,Centro-Oeste,12830.0,,12.539093041438623,False,
DF,2006,98740,Centro-Oeste,42419.0,,42.96029977719263,False,-3.4988272087568384
DF,2007,101590,Centro-Oeste,45076.0,,44.370508908357124,False,2.886368239821757
DF,2008,80000,Centro-Oeste,40576.0,,50.72,False,-21.252091741313116
DF,2009,102000,Centro-Oeste,4883.0,,4.787254901960784,False,27.499999999999993
DF,2010,100600,Centro-Oeste,,,,False,-1.3725490196078383
DF,2011,98000,Centro-Oeste,,,,False,-2.5844930417495027
DF,2012,100069,Centro-Oeste,37022.0,,36.996472434020525,False,2.1112244897959265
DF,2013,101452,Centro-Oeste,,,,False,1.3820463879922862
DF,2014,100056,Centro-Oeste,21442.0,,21.42999920044775,False,-1.3760201868864064
DF,2015,96576,Centro-Oeste,76914.0,,79.64090457256461,False,-3.478052290717193
DF,2016,96265,Centro-Oeste,,,,False,-0.3220261762756804
DF,2017,93141,Centro-Oeste,,,,False,-3.245208538929001
DF,2018,90199,Centro-Oeste,,,,False,-3.1586519363116183
DF,2019,84425,Centro-Oeste,,,,False,-6.401401345912927
DF,2020,84225,Centro-Oeste,,,,False,-0.23689665383476166
DF,2021,85771,Centro-Oeste,,,,False,1.8355595132086622
DF,2022,85544,Centro-Oeste,,,,False,-0.2646582178125523
DF,2023,83061,Centro-Oeste,,,,False,-2.9025998316655754
DF,2024,81951,Centro-Oeste,,,,False,-1.3363672481670141
ES,2005,2026690,Sudeste,64883.0,,3.2014269572554266,False,
ES,2006,2119309,Sudeste,254915.0,,12.028212969415975,False,4.5699638326532455
ES,2007,2142342,Sudeste,310000.0,,14.470145289594285,False,1.0868165048135925
ES,2008,2120017,Sudeste,385457.0,,18.181788164906223,False,-1.0420838502909424
ES,2009,2187235,Sudeste,351235.0,,16.05840250361758,False,3.1706349524555755
ES,2010,2195406,Sudeste,380421.0,,17.32804775062107,False,0.3735766847183797
ES,2011,2223262,Sudeste,305170.0,,13.726227498153614,False,1.2688313687764463
ES,2012,2285345,Sudeste,272292.0,,11.914699968713695,False,2.792428422740989
ES,2013,2313445,Sudeste,317528.0,,13.725331702288146,False,1.229573652993321
ES,2014,2295624,Sudeste,381357.0,,16.612345924245435,False,-0.7703230463659172
ES,2015,2223531,Sudeste,351270.0,,15.79784585868153,False,-3.1404533146543123
ES,2016,2044771,Sudeste,309559.0,,15.139054691209921,False,-8.039465156995785
ES,2017,1937604,Sudeste,296784.0,,15.31706169062409,False,-5.24102699030845
ES,2018,1976903,Sudeste,273365.0,,13.827941988048984,False,2.0282266139004745
ES,2019,2006027,Sudeste,284127.0,,14.163667787123504,False,1.4732134050077228
ES,2020,2106299,Sudeste,238723.0,,11.333766003781989,False,4.998536909024653
ES,2021,2213129,Sudeste,189404.0,,8.558199725366213,False,5.071929483895676
ES,2022,2231036,Sudeste,204493.0,,9.165831479187247,False,0.8091259027377173
ES,2023,2179082,Sudeste,293108.0,,13.450985323177376,False,-2.3286939341184976
ES,2024,2177441,Sudeste,310229.0,,14.247412444240739,False,-0.07530694117982017
GO,2005,20726586,Centro-Oeste,662391.0,,3.1958519362523092,False,
GO,2006,20646560,Centro-Oeste,2872139.0,,13.910980812299966,False,-0.3861031430839601
GO,2007,20471490,Centro-Oeste,2752019.0,,13.44317878180826,False,-0.8479378647096691
GO,2008,20466360,Centro-Oeste,3016334.0,,14.738009103719468,False,-0.025059240924818482
GO,2009,20874943,Centro-Oeste,2538203.0,,12.159089488292256,False,1.9963637891642572
GO,2010,21347881,Centro-Oeste,2612313.0,,12.23687259639493,False,2.265577443732414
GO,2011,21744650,Centro-Oeste,2701839.0,,12.425304615158211,False,1.8585872761797795
GO,2012,22045776,Centro-Oeste,2922751.0,,13.257646272011472,False,1.384827992172788
GO,2013,21580398,Centro-Oeste,3466231.0,,16.061941953063148,False,-2.1109622088149704
GO,2014,21538072,Centro-Oeste,3409851.0,,15.83173739970783,False,-0.19613169321529567
GO,2015,21887720,Centro-Oeste,3060939.0,,13.984732078078485,False,1.6233950745452086
GO,2016,22919070,Centro-Oeste,2824306.0,,12.32295202204976,False,4.71200289477387
GO,2017,22835005,Centro-Oeste,3179805.0,,13.925133802247908,False,-0.36679062457595224
GO,2018,22651910,Centro-Oeste,3207705.0,,14.160858841484009,False,-0.8018172100246912
GO,2019,22823401,Centro-Oeste,3013431.0,,13.203251347158998,False,0.7570708165448359
GO,2020,23626608,Centro-Oeste,2793131.0,,11.821972074874227,False,3.519225728014863
GO,2021,24293954,Centro-Oeste,2969595.0,,12.223596866940639,False,2.8245527246230084
GO,2022,24410182,Centro-Oeste,3004569.0,,12.308671029163158,False,0.47842356168124045
GO,2023,23729878,Centro-Oeste,3539760.0,,14.91689084958633,False,-2.7869681594344553
GO,2024,23216460,Centro-Oeste,4019579.0,,17.31348793054583,False,-2.1635930871620968
MA,2005,6448948,Nordeste,131341.0,922.0,2.0366267490449603,True,
MA,2006,6613270,Nordeste,734106.0,674.0,11.10049945034756,True,2.5480434948459862
MA,2007,6609438,Nordeste,764487.0,631.0,11.566596131168792,True,-0.057944103295348715
MA,2008,6816338,Nordeste,781100.0,1271.0,11.459232215303878,True,3.1303720528129686
MA,2009,6885265,Nordeste,701758.0,828.0,10.192171252667835,True,1.0112027895330389
MA,2010,6979844,Nordeste,589678.0,712.0,8.448297698343975,True,1.373643570726757
MA,2011,7264106,Nordeste,688609.0,396.0,9.479611118009567,True,4.072612511110574
MA,2012,7490942,Nordeste,683687.0,269.0,9.126849466996273,True,3.1226967227625746
MA,2013,7611324,Nordeste,720157.0,403.0,9.461652138313912,True,1.607034202107016
MA,2014,7758352,Nordeste,833514.0,257.0,10.743441390645849,True,1.9317007133055952
MA,2015,7643128,Nordeste,839121.0,209.0,10.978764191833502,True,-1.485160766100846
MA,2016,7653870,Nordeste,776772.0,258.0,10.14874828028174,True,0.14054455191643278
MA,2017,7687695,Nordeste,738542.0,265.0,9.606806721650637,True,0.4419332964892275
MA,2018,7793180,Nordeste,712944.0,937.0,9.148306596280339,True,1.3721277964331202
MA,2019,8008643,Nordeste,687455.0,831.0,8.58391365428575,True,2.7647635496677925
MA,2020,8323445,Nordeste,573081.0,674.0,6.885141909389682,True,3.9307782854099083
MA,2021,8561509,Nordeste,567263.0,862.0,6.625736187394068,True,2.8601618680726526
MA,2022,9428128,Nordeste,628180.0,780.0,6.662828506358845,True,10.12226933359528
MA,2023,10128610,Nordeste,682444.0,720.0,6.737785342707439,True,7.429703966683521
MA,2024,10314237,Nordeste,783997.0,,7.601114847370678,True,1.8326996498038817
MG,2005,21403680,Sudeste,527908.0,,2.4664356783506385,False,
MG,2006,22203154,Sudeste,2376563.0,,10.703718039338014,False,3.7352174953092288
MG,2007,22575194,Sudeste,2568878.0,,11.379206752331784,False,1.6756177973633823
MG,2008,22369639,Sudeste,2852862.0,,12.753276885693149,False,-0.910534810907937
MG,2009,22469791,Sudeste,2472853.0,,11.005233649035722,False,0.44771397517859857
MG,2010,22698120,Sudeste,2393057.0,,10.542974484230411,False,1.016159874384237
MG,2011,23907915,Sudeste,2099739.0,,8.782610277809672,False,5.329934813984605
MG,2012,23965914,Sudeste,2480113.0,,10.348501626101136,False,0.24259330016858094
MG,2013,24201256,Sudeste,3032618.0,,12.530828978462935,False,0.9819863327557687
MG,2014,23707042,Sudeste,3240379.0,,13.668423922309666,False,-2.0421006248601326
MG,2015,23768959,Sudeste,2840812.0,,11.951772898426052,False,0.2611755612530686
MG,2016,23637803,Sudeste,2469873.0,,10.448826398967789,False,-0.5517953058019942
MG,2017,21971713,Sudeste,2766901.0,,12.593014481847636,False,-7.0484130864446275
MG,2018,21810311,Sudeste,2804442.0,,12.858331089364109,False,-0.7345899702949854
MG,2019,22020979,Sudeste,2846455.0,,12.926105601390384,False,0.9659101147159177
MG,2020,22165606,Sudeste,2684585.0,,12.111489304646126,False,0.6567691654399299
MG,2021,22856143,Sudeste,2609262.0,,11.416020629552413,False,3.1153535797757925
MG,2022,22993105,Sudeste,2844094.0,,12.369334198230296,False,0.5992349627844007
MG,2023,22498415,Sudeste,3091304.0,,13.740096802374746,False,-2.1514710605635923
MG,2024,22064637,Sudeste,3763402.0,,17.056260658174434,False,-1.928038041790947
MS,2005,24504098,Centro-Oeste,746908.0,,3.048094241216306,False,
MS,2006,23726290,Centro-Oeste,3699818.0,,15.59374853801416,False,-3.174195597813889
MS,2007,21832001,Centro-Oeste,3735883.0,,17.111958725175946,False,-7.983924161763179
MS,2008,22365219,Centro-Oeste,3190674.0,,14.26623186654242,False,2.4423688877625027
MS,2009,22325663,Centro-Oeste,3284205.0,,14.71044779274864,False,-0.1768639064075317
MS,2010,22354077,Centro-Oeste,3298044.0,,14.753657688483404,False,0.12727057646619855
MS,2011,21553851,Centro-Oeste,3283771.0,,15.235193933557396,False,-3.579776521303024
MS,2012,21498382,Centro-Oeste,3988813.0,,18.55401490214473,False,-0.25735076297966897
MS,2013,21047274,Centro-Oeste,4120813.0,,19.578844272184607,False,-2.0983346560685345
MS,2014,21003830,Centro-Oeste,3931653.0,,18.718743200644834,False,-0.20641152863786205
MS,2015,21357398,Centro-Oeste,3408741.0,,15.960469529106494,False,1.6833501318568977
MS,2016,21800990,Centro-Oeste,3292279.0,,15.101511445122446,False,2.076994585201808
MS,2017,21474693,Centro-Oeste,3435747.0,,15.999050603424225,False,-1.4967072596244524
MS,2018,20896700,Centro-Oeste,3293548.0,,15.761091464202481,False,-2.691507627140466
MS,2019,19407908,Centro-Oeste,3585036.0,,18.472037274702664,False,-7.1245316246105865
MS,2020,19027086,Centro-Oeste,3389421.0,,17.813663111629392,False,-1.9622001505777975
MS,2021,18608503,Centro-Oeste,2955535.0,,15.882712327799823,False,-2.199932243960001
MS,2022,18433728,Centro-Oeste,3341782.0,,18.128628132084838,False,-0.9392211721705901
MS,2023,18891916,Centro-Oeste,3312125.0,,17.531969758916986,False,2.4855959684335183
MS,2024,18744820,Centro-Oeste,3755417.0,,20.03442551062107,False,-0.7786187488870944
MT,2005,26651500,Centro-Oeste,987971.0,7145.0,3.706999606025927,True,
MT,2006,26064332,Centro-Oeste,4780290.0,4333.0,18.340351097430773,True,-2.203133031911897
MT,2007,25683031,Centro-Oeste,4638485.0,2678.0,18.060504618788958,True,-1.4629225870818385
MT,2008,26018216,Centro-Oeste,3824386.0,3258.0,14.698878662549347,True,1.3050835004637884
MT,2009,27357089,Centro-Oeste,4067769.0,1049.0,14.869158776359576,True,5.145906237383846
MT,2010,28757438,Centro-Oeste,4082705.0,871.0,14.197040084029739,True,5.11877926777955
MT,2011,29265718,Centro-Oeste,4475152.0,1120.0,15.291447829846511,True,1.7674731664204524
MT,2012,28740802,Centro-Oeste,5015717.0,757.0,17.45155545763824,True,-1.793620781830807
MT,2013,28395205,Centro-Oeste,5837857.0,1139.0,20.55930569967711,True,-1.2024612256818723
MT,2014,28592183,Centro-Oeste,5352226.0,1075.0,18.719193284402245,True,0.6937016302576371
MT,2015,29364042,Centro-Oeste,4540805.0,1601.0,15.463828174608931,True,2.699545536624459
MT,2016,30296096,Centro-Oeste,4577459.0,1489.0,15.109072139195757,True,3.174133860726669
MT,2017,29725378,Centro-Oeste,4804617.0,1341.0,16.163350386999284,True,-1.883800473830033
MT,2018,30199598,Centro-Oeste,5219350.0,1490.0,17.282845950465962,True,1.5953371560152974
MT,2019,31654882,Centro-Oeste,5649896.0,1779.0,17.848419084297962,True,4.8188853374803164
MT,2020,32338031,Centro-Oeste,5090505.0,1685.0,15.74154282924647,True,2.158115768683011
MT,2021,32424958,Centro-Oeste,4617444.0,2011.0,14.2404008665177,True,0.26880733709482296
MT,2022,34246313,Centro-Oeste,4709980.0,1800.0,13.753246955372978,True,5.6171391185765085
MT,2023,34075004,Centro-Oeste,5948665.0,1650.0,17.45756214731479,True,-0.5002261119321116
MT,2024,32853368,Centro-Oeste,7138747.0,,21.729117696547885,True,-3.5851382438575774
PA,2005,18063669,Norte,495353.0,5899.0,2.7422612759345846,True,
PA,2006,17501678,Norte,2214770.0,5659.0,12.654615174613543,True,-3.1111675042318376
PA,2007,15353989,Norte,2370139.0,5526.0,15.436633437733999,True,-12.271331926001604
PA,2008,16240697,Norte,2098275.0,5607.0,12.919858057816114,True,5.775098575360449
PA,2009,16856561,Norte,2108227.0,4281.0,12.506863054688319,True,3.7921032576372804
PA,2010,17633339,Norte,2105467.0,3770.0,11.94026270350726,True,4.608164144513216
PA,2011,18262547,Norte,2079954.0,3008.0,11.38917808123916,True,3.568286187885339
